lstm_units,dropout_rate,learning_rate,batch_size,accuracy,val_loss,epochs
64,0.2,0.0005,16,0.92,0.2688,100
64,0.4,0.0005,32,0.92,0.4018,78
64,0.4,0.0005,16,0.88,0.2753,95
128,0.4,0.0005,16,0.88,0.3673,81
64,0.4,0.001,32,0.8533,0.4847,100
64,0.2,0.001,32,0.84,0.5374,84
64,0.4,0.001,16,0.84,0.4987,100
64,0.2,0.0005,32,0.8,0.3792,80
128,0.4,0.001,32,0.7867,0.6706,84
128,0.2,0.0005,16,0.7733,0.59,65
128,0.2,0.001,16,0.7333,0.6338,100
128,0.4,0.0005,32,0.7333,0.5793,66
128,0.2,0.0005,32,0.68,0.8139,49
128,0.4,0.001,16,0.5467,0.9276,64
128,0.2,0.001,32,0.52,1.1548,40
64,0.2,0.001,16,0.4133,1.3583,40
